ts,icao,lat,lon,alt,vw,dw,vwx,vwy
1484136026.2,4CA8EA,52.62199,3.46062,14650,60.53,128.62,47.29,-37.78
1484136026.5,485209,52.01049,4.27792,8550,11.74,106.29,11.27,-3.29
1484136026.5,76CEF1,52.49693,4.92378,31000,56.59,133.23,41.24,-38.76
1484136026.6,484132,52.94952,2.16942,29425,58.49,117.35,51.95,-26.88
1484136026.8,4D00D9,51.05435,2.87575,23000,53.3,138.2,35.52,-39.73
1484136026.9,485209,52.01088,4.27872,8550,11.22,103.37,10.92,-2.6
1484136026.9,4CA63A,50.26776,2.08651,32000,49.77,144.6,28.84,-40.57
1484136027.0,484160,52.32088,4.87206,1225,19.02,106.3,18.26,-5.34
1484136027.0,76CEF1,52.4967,4.92554,31000,56.59,133.23,41.24,-38.76
1484136027.1,4CA71A,51.2,3.67003,37000,55.53,135.21,39.12,-39.41
1484136027.2,484132,52.94875,2.17262,29425,58.49,117.35,51.95,-26.88
1484136027.3,4D00D9,51.05411,2.87701,23000,53.3,138.2,35.52,-39.73
1484136027.4,4CA8EA,52.62131,3.4642,14600,60.63,128.57,47.41,-37.8
1484136027.5,484B02,52.42896,5.03548,3700,21.63,117.01,19.27,-9.82
1484136027.5,485209,52.01129,4.27986,8525,7.83,86.95,7.82,0.42
1484136027.6,3950CD,52.32369,4.95719,2225,20.68,104.36,20.04,-5.13
1484136027.6,44CE72,51.1482,4.79553,5825,19.85,108.28,18.85,-6.23
1484136027.6,4CA71A,51.2008,3.67088,37000,55.53,135.21,39.12,-39.41
1484136027.8,4CA8EA,52.62108,3.46542,14575,61.23,129.44,47.28,-38.9
1484136027.9,485209,52.01161,4.28055,8525,11.12,108.1,10.57,-3.46
1484136028.0,4CA71A,51.2016,3.67173,37000,55.53,135.21,39.12,-39.41
1484136028.1,76CEF1,52.49602,4.93057,31000,56.59,133.23,41.24,-38.76
1484136028.2,400940,52.11324,5.94475,38050,40.06,149.12,20.56,-34.39
1484136028.2,44CE72,51.14841,4.7962,5800,19.88,108.19,18.89,-6.21
1484136028.3,485209,52.01188,4.28145,8525,11.12,108.1,10.57,-3.46
1484136028.5,484B02,52.42881,5.03739,3675,21.67,116.97,19.31,-9.83
1484136028.6,76CEF1,52.49566,4.93318,31000,56.59,133.23,41.24,-38.76
1484136028.8,485209,52.01216,4.28224,8500,9.57,98.28,9.47,-1.38
1484136028.8,4CA8EA,52.62051,3.46846,14525,61.13,129.17,47.39,-38.62
1484136029.0,344156,52.25002,4.93134,5550,23.67,127.4,18.81,-14.38
1484136029.0,484B02,52.42862,5.03841,3675,22.18,116.56,19.84,-9.92
1484136029.0,76CEF1,52.49542,4.93482,31000,56.59,133.23,41.24,-38.76
1484136029.2,485209,52.01249,4.28318,8500,9.57,98.28,9.47,-1.38
1484136029.3,4CA75E,52.10173,5.3297,35000,52.3,127.58,41.45,-31.9
1484136029.6,76CEF1,52.49519,4.93655,31000,56.59,133.23,41.24,-38.76
1484136029.8,344156,52.25006,4.93294,5550,23.67,127.4,18.81,-14.38
1484136029.8,485209,52.01286,4.28412,8500,11.6,106.78,11.1,-3.35
1484136029.8,4CA71A,51.20448,3.67485,37000,56.26,134.86,39.88,-39.69
1484136029.9,44CE72,51.14923,4.79939,5750,20.16,101.27,19.77,-3.94
1484136030.1,76CEF1,52.49483,4.93912,31000,56.59,133.23,41.24,-38.76
1484136030.3,44CE72,51.14941,4.80006,5750,20.16,101.27,19.77,-3.94
1484136030.3,485209,52.01317,4.28528,8500,11.6,106.78,11.1,-3.35
1484136030.7,484160,52.32079,4.8687,1200,19.27,108.84,18.24,-6.22
1484136030.7,484B02,52.42829,5.04147,3650,22.22,116.53,19.88,-9.93
1484136030.8,344156,52.25014,4.93529,5525,23.7,127.32,18.85,-14.37
1484136030.8,485209,52.01353,4.28619,8475,10.29,106.2,9.88,-2.87
1484136030.8,4CA8EA,52.61934,3.47443,14450,62.64,128.96,48.71,-39.39
1484136031.1,484B02,52.42813,5.0425,3650,22.22,116.53,19.88,-9.93
1484136031.2,44CE72,51.1496,4.80064,5725,20.32,101.33,19.92,-3.99
1484136031.2,484160,52.32079,4.8687,1175,19.24,108.87,18.21,-6.22
1484136031.3,485209,52.01381,4.28726,8475,10.29,106.2,9.88,-2.87
1484136031.5,896063,50.69087,4.40163,26400,61.18,144.52,35.51,-49.82
1484136031.7,44CE72,51.14987,4.80162,5700,20.14,107.41,19.21,-6.03
1484136031.7,484B02,52.42792,5.04359,3650,21.71,116.94,19.35,-9.83
1484136031.7,76CEF1,52.49387,4.94591,31000,56.59,133.23,41.24,-38.76
1484136031.8,485209,52.01407,4.28812,8475,10.48,108.82,9.92,-3.38
1484136032.0,44CE62,50.98448,4.87667,5425,21.47,115.03,19.46,-9.09
1484136032.0,4CA5E8,51.76291,2.43845,36000,55.9,122.24,47.28,-29.82
1484136032.0,4CA741,52.83637,3.55463,37000,47.77,130.21,36.48,-30.84
1484136032.2,484B02,52.42776,5.0444,3650,21.71,116.94,19.35,-9.83
1484136032.3,484160,52.32076,4.86789,1175,20.32,108.77,19.24,-6.54
1484136032.3,76CEF1,52.49351,4.9484,31000,56.59,133.23,41.24,-38.76
1484136032.4,485209,52.0144,4.28938,8450,10.52,108.59,9.97,-3.35
1484136032.4,4D00D9,51.05141,2.89223,23000,53.3,138.2,35.52,-39.73
1484136032.5,4CA741,52.83688,3.55557,37000,47.77,130.21,36.48,-30.84
1484136032.9,485209,52.01472,4.2904,8450,9.8,96.69,9.73,-1.14
1484136033.2,4CA75E,52.10129,5.3437,35000,52.55,127.98,41.43,-32.34
1484136033.4,44CE72,51.15099,4.80576,5650,20.65,108.38,19.6,-6.51
1484136033.4,485209,52.01496,4.29142,8450,9.8,96.69,9.73,-1.14
1484136033.4,4CA741,52.83824,3.55804,37000,46.99,130.29,35.84,-30.38
1484136033.9,485209,52.01527,4.29253,8425,11.13,106.76,10.66,-3.21
1484136034.0,4CA741,52.83907,3.55957,37000,47.38,130.35,36.11,-30.67
1484136034.1,484CB8,51.0327,4.27986,22650,47.94,141.2,30.04,-37.36
1484136034.1,4D00D9,51.05049,2.89734,22975,53.15,137.91,35.63,-39.44
1484136034.5,485209,52.01555,4.29382,8425,11.13,106.76,10.66,-3.21
1484136034.6,344156,52.25034,4.94286,5450,23.77,126.9,19.01,-14.28
1484136034.7,4CA8EA,52.61702,3.48651,14300,63.98,129.58,49.31,-40.76
1484136034.9,484160,52.32069,4.86542,1150,17.53,108.31,16.64,-5.51
1484136035.0,484132,52.93772,2.19766,29100,58.52,117.41,51.95,-26.94
1484136035.0,485209,52.01578,4.29482,8425,10.56,100.46,10.39,-1.92
1484136035.2,484B02,52.42708,5.05028,3625,21.75,116.91,19.39,-9.84
1484136035.2,4CA75E,52.10106,5.3511,35000,52.55,127.98,41.43,-32.34
1484136035.4,484160,52.32069,4.86542,1150,17.53,108.31,16.64,-5.51
1484136035.5,344156,52.25042,4.94518,5450,23.77,126.9,19.01,-14.28
1484136035.5,484132,52.93692,2.1975,29075,58.6,117.43,52.02,-26.99
1484136035.6,485209,52.01603,4.29605,8425,11.44,103.82,11.11,-2.73
1484136035.6,4CA741,52.84126,3.56357,37000,48.15,130.28,36.74,-31.13
1484136035.6,4D00D9,51.04967,2.90202,23025,54.5,139.1,35.68,-41.19
1484136035.7,484CB8,51.03405,4.27635,22625,48.42,141.39,30.21,-37.84
1484136035.7,4CA8EA,52.61646,3.48953,14250,64.36,129.94,49.34,-41.32
1484136035.8,400940,52.11136,5.92163,38025,40.21,148.69,20.89,-34.35
1484136036.0,484160,52.32067,4.86451,1150,19.77,103.03,19.26,-4.46
1484136036.0,485209,52.01621,4.29691,8400,11.49,103.66,11.16,-2.71
1484136036.1,484132,52.93607,2.20062,29050,58.68,117.44,52.08,-27.05
1484136036.2,4CA75E,52.10094,5.35474,35000,52.55,127.98,41.43,-32.34
1484136036.2,4D00D9,51.04939,2.90343,23000,54.55,139.05,35.75,-41.2
